date,activeThreads,inMessages,outMessages
20210101,60,477,662
20210102,36,402,568
20210103,59,525,759
20210104,62,558,824
20210105,86,1019,1318
20210106,76,843,1129
20210107,80,822,1131
20210108,65,663,809
20210109,72,488,679
20210110,46,338,426
20210111,57,423,483
20210112,57,451,523
20210113,80,862,1050
20210114,64,530,711
20210115,50,480,647
20210116,54,475,572
20210117,60,455,683
20210118,53,447,506
20210119,66,628,767
20210120,91,821,1084
20210121,112,885,1110
20210122,88,695,819
20210123,100,881,1074
20210124,80,595,729
20210125,62,581,744
20210126,111,1058,1370
20210127,82,772,907
20210128,104,788,1122
20210129,90,784,995
20210130,75,718,878
20210131,85,837,1045
20210201,75,648,874
20210202,144,1112,1572
20210203,82,679,846
20210204,111,1266,1578
20210205,90,789,1095
20210206,90,839,1158
20210207,89,702,966
20210208,103,888,1117
20210209,132,1212,1359
20210210,107,924,1049
20210211,140,1237,1279
20210212,178,1292,1400
20210213,203,1681,1651
20210214,251,2448,2038
20210215,102,1150,1342
20210216,72,646,789
20210217,75,693,759
20210218,77,583,656
20210219,61,547,569
20210220,53,412,517
20210221,66,573,743
20210222,55,615,743
20210223,86,468,674
