broadcastId,sentDate,cmsUrl,deliveredCount,open,clickUU,videoStartUU,videoCompleteUU,1_imp,1_click,1_videoStart,1_video25,1_video50,1_video75,1_videoComplete,1_videoStartUU,1_video25UU,1_video50UU,1_video75UU,1_videoCompleteUU,2_imp,2_click,2_videoStart,2_video25,2_video50,2_video75,2_videoComplete,2_videoStartUU,2_video25UU,2_video50UU,2_video75UU,2_videoCompleteUU,3_imp,3_click,3_videoStart,3_video25,3_video50,3_video75,3_videoComplete,3_videoStartUU,3_video25UU,3_video50UU,3_video75UU,3_videoCompleteUU
165951146,2020-08-06 13:30:20,https://manager.line.biz/account/@qao3025s/broadcast/165951146,9592,5154,457,,,2420,,,,,,,,,,,,3109,,,,,,,,,,,,6991,501,,,,,,,,,,
166434882,2020-08-09 13:33:15,https://manager.line.biz/account/@qao3025s/broadcast/166434882,9648,5117,352,,,2659,,,,,,,,,,,,6865,419,,,,,,,,,,,,,,,,,,,,,,
166605995,2020-08-11 14:19:30,https://manager.line.biz/account/@qao3025s/broadcast/166605995,9691,4716,293,,,2028,,,,,,,,,,,,2479,,,,,,,,,,,,6239,330,,,,,,,,,,
166673984,2020-08-12 10:00:43,https://manager.line.biz/account/@qao3025s/broadcast/166673984,9690,4554,335,,,2342,,,,,,,,,,,,4821,,,,,,,,,,,,6342,456,,,,,,,,,,
167420552,2020-08-20 13:31:46,https://manager.line.biz/account/@qao3025s/broadcast/167420552,9785,5017,,,,4679,,,,,,,,,,,,6197,,,,,,,,,,,,6716,,,,,,,,,,,
168069862,2020-08-27 13:32:46,https://manager.line.biz/account/@qao3025s/broadcast/168069862,9859,5005,,,,4081,,,,,,,,,,,,6494,,,,,,,,,,,,6739,,,,,,,,,,,
168573836,2020-09-01 13:32:39,https://manager.line.biz/account/@qao3025s/broadcast/168573836,9920,4935,274,,,1832,,,,,,,,,,,,2927,140,,,,,,,,,,,6327,190,,,,,,,,,,
168809559,2020-09-03 13:58:59,https://manager.line.biz/account/@qao3025s/broadcast/168809559,9930,4646,445,,,1392,,,,,,,,,,,,2883,N/A,,,,,,,,,,,6158,405,,,,,,,,,,
169506736,2020-09-10 13:01:00,https://manager.line.biz/account/@qao3025s/broadcast/169506736,10010,4846,454,,,1652,,,,,,,,,,,,2661,N/A,,,,,,,,,,,6536,N/A,,,,,,,,,,
170092493,2020-09-17 13:06:22,https://manager.line.biz/account/@qao3025s/broadcast/170092493,10133,4822,417,,,1796,,,,,,,,,,,,2529,215,,,,,,,,,,,6533,N/A,,,,,,,,,,
170515792,2020-09-20 13:30:13,https://manager.line.biz/account/@qao3025s/broadcast/170515792,10158,5316,,,,2716,,,,,,,,,,,,6046,,,,,,,,,,,,7180,,,,,,,,,,,
170872289,2020-09-24 13:30:23,https://manager.line.biz/account/@qao3025s/broadcast/170872289,10210,4492,120,3474,1046,1909,127,,,,,,,,,,,5554,,,,,,,,,,,,5697,,4483,2279,1729,1421,1220,3474,1767,1410,1191,1046
171642979,2020-10-01 13:36:27,https://manager.line.biz/account/@qao3025s/broadcast/171642979,10265,4879,314,,,1601,,,,,,,,,,,,2612,243,,,,,,,,,,,6608,N/A,,,,,,,,,,
172334485,2020-10-08 13:33:02,https://manager.line.biz/account/@qao3025s/broadcast/172334485,10330,4998,360,,,1761,,,,,,,,,,,,3455,160,,,,,,,,,,,6697,276,,,,,,,,,,
172728232,2020-10-12 13:34:53,https://manager.line.biz/account/@qao3025s/broadcast/172728232,10356,4758,211,,,2296,,,,,,,,,,,,6306,262,,,,,,,,,,,,,,,,,,,,,,
173155904,2020-10-16 13:33:04,https://manager.line.biz/account/@qao3025s/broadcast/173155904,10414,4525,260,,,2175,,,,,,,,,,,,5873,315,,,,,,,,,,,,,,,,,,,,,,
173718350,2020-10-22 13:32:58,https://manager.line.biz/account/@qao3025s/broadcast/173718350,10502,4628,322,,,1303,,,,,,,,,,,,2081,114,,,,,,,,,,,6297,N/A,,,,,,,,,,
174400759,2020-10-29 13:32:03,https://manager.line.biz/account/@qao3025s/broadcast/174400759,10552,4841,195,,,2560,,,,,,,,,,,,6387,237,,,,,,,,,,,,,,,,,,,,,,
175165645,2020-11-05 13:33:37,https://manager.line.biz/account/@qao3025s/broadcast/175165645,10649,4840,175,,,1397,124,,,,,,,,,,,3154,,,,,,,,,,,,6376,114,,,,,,,,,,
175937251,2020-11-12 13:34:31,https://manager.line.biz/account/@qao3025s/broadcast/175937251,10712,4801,108,,,1484,,,,,,,,,,,,3043,,,,,,,,,,,,6510,125,,,,,,,,,,
176435888,2020-11-17 13:30:41,https://manager.line.biz/account/@qao3025s/broadcast/176435888,10777,5088,,,,2103,,,,,,,,,,,,3929,,,,,,,,,,,,6841,,,,,,,,,,,
176880762,2020-11-21 15:08:12,https://manager.line.biz/account/@qao3025s/broadcast/176880762,10841,5334,412,,,1856,,,,,,,,,,,,2826,251,,,,,,,,,,,7082,344,,,,,,,,,,
177234571,2020-11-25 13:29:17,https://manager.line.biz/account/@qao3025s/broadcast/177234571,10895,4954,,,,1776,,,,,,,,,,,,3063,,,,,,,,,,,,6451,,,,,,,,,,,
177339314,2020-11-29 13:02:39,https://manager.line.biz/account/@qao3025s/broadcast/177339314,10965,5061,339,3392,503,1977,,,,,,,,,,,,3033,,4122,1372,952,712,528,3392,1214,867,667,503,6627,410,,,,,,,,,,
177977607,2020-12-01 23:01:43,https://manager.line.biz/account/@qao3025s/broadcast/177977607,10978,5360,281,3413,767,1801,,,,,,,,,,,,2704,,4142,1628,1256,1039,830,3413,1412,1116,948,767,6975,N/A,,,,,,,,,,
178161743,2020-12-03 14:05:45,https://manager.line.biz/account/@qao3025s/broadcast/178161743,11000,4909,536,720,34,1663,,848,213,105,57,34,720,205,103,56,34,2045,,,,,,,,,,,,6797,N/A,,,,,,,,,,
178699639,2020-12-08 14:03:51,https://manager.line.biz/account/@qao3025s/broadcast/178699639,11145,4962,265,3460,454,2127,,,,,,,,,,,,3148,,4210,1569,1034,709,484,3460,1363,930,654,454,6406,333,,,,,,,,,,
178924281,2020-12-10 14:09:55,https://manager.line.biz/account/@qao3025s/broadcast/178924281,11201,4858,292,,,1666,,,,,,,,,,,,2404,109,,,,,,,,,,,6399,N/A,,,,,,,,,,
179151002,2020-12-12 10:17:20,https://manager.line.biz/account/@qao3025s/broadcast/179151002,11239,5071,465,3002,446,2210,,,,,,,,,,,,2626,,3775,1361,973,675,498,3002,1107,822,586,446,7056,N/A,,,,,,,,,,
179562626,2020-12-16 13:47:24,https://manager.line.biz/account/@qao3025s/broadcast/179562626,11387,5353,,4193,624,2961,,,,,,,,,,,,6913,,5536,1853,1228,918,667,4193,1513,1073,829,624,7346,,,,,,,,,,,
179709890,2020-12-19 13:45:53,https://manager.line.biz/account/@qao3025s/broadcast/179709890,11523,5271,215,2294,194,2082,,,,,,,,,,,,2505,,2687,521,412,258,201,2294,496,398,250,194,6795,279,,,,,,,,,,
180150397,2020-12-21 21:01:37,https://manager.line.biz/account/@qao3025s/broadcast/180150397,11591,5622,302,,,1941,,,,,,,,,,,,3058,222,,,,,,,,,,,7165,173,,,,,,,,,,
180275634,2020-12-22 21:19:06,https://manager.line.biz/account/@qao3025s/broadcast/180275634,11618,5749,311,937,49,2096,,1077,217,110,68,53,937,198,104,64,49,2946,,,,,,,,,,,,7455,N/A,,,,,,,,,,
180496435,2020-12-24 15:36:08,https://manager.line.biz/account/@qao3025s/broadcast/180496435,11669,5185,239,652,28,1725,,708,135,85,52,28,652,132,84,52,28,2411,,,,,,,,,,,,6680,N/A,,,,,,,,,,
180665563,2020-12-25 16:11:58,https://manager.line.biz/account/@qao3025s/broadcast/180665563,11715,4810,165,907,55,1852,,1010,146,93,72,56,907,141,91,70,55,2194,,,,,,,,,,,,5747,N/A,,,,,,,,,,
180728501,2020-12-25 22:07:24,https://manager.line.biz/account/@qao3025s/broadcast/180728501,2100,1056,45,134,N/A,401,,153,32,N/A,N/A,N/A,134,29,N/A,N/A,N/A,536,,,,,,,,,,,,1383,N/A,,,,,,,,,,
180728750,2020-12-25 22:10:00,https://manager.line.biz/account/@qao3025s/broadcast/180728750,2050,871,33,88,N/A,242,,94,21,N/A,N/A,N/A,88,21,N/A,N/A,N/A,337,,,,,,,,,,,,1036,N/A,,,,,,,,,,
180729017,2020-12-25 22:13:29,https://manager.line.biz/account/@qao3025s/broadcast/180729017,1650,715,22,64,N/A,191,,66,N/A,N/A,N/A,N/A,64,N/A,N/A,N/A,N/A,286,,,,,,,,,,,,874,N/A,,,,,,,,,,
